City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saskylakh,71.92,114.08,1.72,92,98,6.87,RU,1603815811
Adrar,20.5,-10.07,96.51,10,0,10.25,MR,1603815798
Lorengau,-2.02,147.27,80.35,76,79,1.68,PG,1603816033
Zhigansk,66.77,123.37,-4.4,92,90,2.8,RU,1603815982
Talara,-4.58,-81.27,73.4,69,0,17.22,PE,1603816035
Zhaoyuan,37.36,120.4,55.99,64,100,6.78,CN,1603816037
Hobart,-42.88,147.33,48.2,93,90,5.82,AU,1603815647
Mataura,-46.19,168.86,39.99,91,15,1.74,NZ,1603815844
Chokurdakh,70.63,147.92,7.63,95,100,2.89,RU,1603815796
Tasiilaq,65.61,-37.64,32.0,92,75,18.34,GL,1603816041
Thompson,55.74,-97.86,24.8,73,90,5.82,CA,1603815905
Kahului,20.89,-156.47,78.8,74,1,3.22,US,1603816015
Vao,-22.67,167.48,72.81,78,64,18.12,NC,1603816045
Auki,-8.77,160.7,77.79,84,34,2.68,SB,1603816046
Yellowknife,62.46,-114.35,19.4,67,90,11.41,CA,1603815974
Punta Arenas,-53.15,-70.92,48.0,45,92,11.99,CL,1603815726
Bluff,-46.6,168.33,39.99,91,4,6.96,NZ,1603815880
Rikitea,-23.12,-134.97,74.98,85,77,17.56,PF,1603815843
Cidreira,-30.18,-50.21,64.9,81,90,17.76,BR,1603815940
Bengkulu,-3.8,102.27,76.33,86,94,3.71,ID,1603815764
Arraial do Cabo,-22.97,-42.03,82.4,65,0,12.75,BR,1603815889
Bredasdorp,-34.53,20.04,71.6,56,88,21.92,ZA,1603815866
Natal,-5.79,-35.21,86.0,62,75,12.75,BR,1603816005
Rybnaya Sloboda,55.46,50.14,28.4,86,0,4.47,RU,1603816057
Nichinan,31.6,131.37,64.87,76,49,1.59,JP,1603816058
Itarema,-2.92,-39.92,87.78,53,42,14.38,BR,1603816060
Ternate,0.8,127.4,81.34,78,28,4.65,ID,1603816061
Hilo,19.73,-155.09,73.4,88,75,5.82,US,1603815779
Preobrazheniye,42.9,133.91,48.6,81,8,3.36,RU,1603816063
Guarda,40.54,-7.27,55.99,91,93,5.99,PT,1603815949
George Town,5.41,100.34,84.2,79,20,2.24,MY,1603815912
Baoding,38.85,115.49,50.09,38,100,1.39,CN,1603816066
Simití,7.96,-73.94,90.21,57,25,2.68,CO,1603816067
Ushuaia,-54.8,-68.3,42.8,52,40,24.16,AR,1603815850
Mnogovershinnyy,53.94,139.92,27.54,98,5,0.85,RU,1603816070
Katsuura,35.13,140.3,62.6,67,20,9.17,JP,1603816071
Road Town,18.42,-64.62,87.8,66,61,10.29,VG,1603816072
Anito,12.45,125.29,79.2,84,96,3.38,PH,1603816073
Ponta do Sol,32.67,-17.1,68.0,68,75,13.87,PT,1603815966
Avarua,-21.21,-159.78,68.0,94,100,6.93,CK,1603815893
Ca Mau,9.18,105.15,77.79,89,100,7.09,VN,1603816077
Chumikan,54.72,135.31,37.4,79,100,13.15,RU,1603815974
Chui,-33.7,-53.46,65.17,74,100,18.05,UY,1603816079
Bījār,35.87,47.61,53.02,37,0,3.36,IR,1603816080
Hermanus,-34.42,19.23,64.99,82,98,4.0,ZA,1603815901
New Norfolk,-42.78,147.06,46.99,85,98,1.68,AU,1603815867
Wairoa,-39.03,177.37,54.0,77,100,4.0,NZ,1603816083
Ilulissat,69.22,-51.1,21.2,62,75,1.12,GL,1603816084
Tombouctou,20.0,-3.0,97.66,10,0,12.03,ML,1603816086
Batouri,4.43,14.37,74.32,92,94,2.59,CM,1603816087
Al Bardīyah,31.76,25.09,72.1,63,23,8.01,LY,1603816088
Pacific Grove,36.62,-121.92,57.99,24,1,4.7,US,1603816089
Lake City,30.19,-82.64,84.0,74,90,8.05,US,1603816082
Vestmannaeyjar,63.44,-20.27,41.0,75,75,43.62,IS,1603816091
Cabo San Lucas,22.89,-109.91,81.0,64,5,6.44,MX,1603815601
Oddur,4.12,43.89,79.29,65,20,7.09,SO,1603816094
Cockburn Town,21.46,-71.14,86.0,66,75,16.11,TC,1603815978
Kushima,31.46,131.23,62.73,83,52,3.24,JP,1603816096
Torbay,47.67,-52.73,46.4,100,90,11.41,CA,1603815794
Wilkie,52.42,-108.7,44.6,87,90,16.11,CA,1603816098
Vila Franca do Campo,37.72,-25.43,68.0,64,20,13.87,PT,1603815860
Souillac,-20.52,57.52,75.2,73,75,5.82,MU,1603815935
Umm Kaddadah,13.6,26.69,92.77,17,0,8.57,SD,1603816102
Srandakan,-7.94,110.25,77.0,88,100,3.15,ID,1603816082
Ancud,-41.87,-73.82,57.0,76,75,13.87,CL,1603815846
Butaritari,3.07,172.79,80.83,69,94,7.99,KI,1603815952
Petatlán,17.52,-101.27,87.8,66,40,0.45,MX,1603816106
Port Alfred,-33.59,26.89,74.52,78,62,13.89,ZA,1603815779
Ingham,42.6,-84.38,39.2,86,90,3.36,US,1603816109
Ransang,8.96,117.58,79.34,80,100,7.31,PH,1603816110
Ishinomaki,38.42,141.3,53.55,79,73,3.65,JP,1603816111
Hithadhoo,-0.6,73.08,83.98,67,73,8.28,MV,1603815907
Atuona,-9.8,-139.03,78.1,77,41,21.68,PF,1603815895
Kalabo,-14.97,22.68,94.42,15,68,8.88,ZM,1603816115
Norman Wells,65.28,-126.83,21.2,92,75,11.41,CA,1603815827
Puri,19.8,85.85,75.2,88,7,5.68,IN,1603816117
Srednekolymsk,67.45,153.68,12.65,89,87,6.64,RU,1603815840
Margate,51.38,1.39,55.0,93,100,8.01,GB,1603815971
Karpogory,64.0,44.45,37.15,99,100,7.63,RU,1603815925
Linqiong,30.42,103.46,62.01,77,40,4.47,CN,1603816121
Kabanjahe,3.1,98.49,78.8,100,75,8.05,ID,1603816123
Sokoni,-6.43,39.55,78.8,83,75,14.92,TZ,1603816124
Castro,-24.79,-50.01,77.04,43,26,7.94,BR,1603815772
Khatanga,71.97,102.5,3.06,94,99,12.91,RU,1603816008
Busselton,-33.65,115.33,60.01,72,52,9.35,AU,1603815842
Pisco,-13.7,-76.22,68.0,72,0,9.17,PE,1603815864
Amahai,-3.33,128.92,81.0,92,51,2.98,ID,1603815973
Kaitangata,-46.28,169.85,45.0,84,3,3.13,NZ,1603815965
Tezu,27.92,96.17,72.93,64,0,3.38,IN,1603816132
Longyearbyen,78.22,15.64,32.0,94,75,11.41,SJ,1603816133
Gornopravdinsk,60.05,69.9,18.27,95,100,11.07,RU,1603816134
Alofi,-19.06,-169.92,69.8,100,43,8.05,NU,1603815976
Pemangkat,1.17,108.97,78.03,86,84,9.57,ID,1603816136
Kilindoni,-7.91,39.67,79.36,80,0,14.16,TZ,1603816137
Marsh Harbour,26.54,-77.06,82.36,75,0,11.99,BS,1603816138
La Santisima Trinidad,-14.83,-64.9,87.8,55,75,4.7,BO,1603816128
Te Anau,-45.42,167.72,39.31,90,24,1.39,NZ,1603815967
Clyde River,70.47,-68.59,14.0,56,75,10.29,CA,1603816142
Kalamare,-22.93,26.57,85.62,18,0,10.89,BW,1603816143
Albany,42.6,-73.97,52.0,67,52,5.61,US,1603815613
Saint Paul Harbor,57.79,-152.41,42.8,60,1,9.17,US,1603816146
Severo-Kuril'sk,50.68,156.12,42.3,84,5,6.71,RU,1603815981
Nālūt,30.33,10.85,74.73,25,0,11.63,LY,1603816002
Intipucá,13.2,-88.05,86.0,83,40,2.24,SV,1603816149
Puerto Ayora,-0.74,-90.35,73.4,78,75,11.41,EC,1603815967
Codrington,-38.27,141.97,46.67,93,19,6.76,AU,1603815958
Kruisfontein,-34.0,24.73,69.01,80,89,1.99,ZA,1603815828
Gweru,-19.45,29.82,77.68,18,0,7.45,ZW,1603816153
Kāzerūn,29.62,51.65,60.89,32,0,3.22,IR,1603816155
Kutum,14.2,24.67,83.88,18,0,4.47,SD,1603816156
Saint George,37.1,-113.58,43.0,19,1,6.93,US,1603816157
Qaanaaq,77.48,-69.36,8.28,78,81,11.83,GL,1603815863
Sur,22.57,59.53,72.19,56,0,1.25,OM,1603816159
Lüderitz,-26.65,15.16,61.81,67,71,17.16,NA,1603816161
São João da Barra,-21.64,-41.05,82.4,58,20,6.93,BR,1603815852
Faanui,-16.48,-151.75,79.5,82,79,16.96,PF,1603816163
Banyo,6.75,11.82,77.83,61,1,3.94,CM,1603816164
Luanda,-8.84,13.23,78.8,83,75,9.17,AO,1603816165
Koslan,63.46,48.9,34.39,96,100,7.09,RU,1603816166
Nikolskoye,59.7,30.79,53.6,81,75,6.71,RU,1603816167
Barrow,71.29,-156.79,28.4,79,90,12.75,US,1603816169
Rio Grande,-32.03,-52.1,59.0,99,100,8.01,BR,1603816098
Tigil',57.8,158.67,34.12,89,91,1.36,RU,1603816171
Whitehorse,60.72,-135.05,28.99,79,75,4.7,CA,1603815949
Damietta,31.42,31.81,78.8,78,0,8.05,EG,1603816173
Bata,1.86,9.77,80.64,79,86,7.7,GQ,1603816174
Ishigaki,24.34,124.16,77.97,73,59,14.72,JP,1603816175
Jamestown,42.1,-79.24,46.0,87,90,8.05,US,1603816011
Yakeshi,49.28,120.73,20.95,95,21,9.69,CN,1603816178
Soc Trang,9.6,105.98,80.6,88,75,1.12,VN,1603816179
Airai,-8.93,125.41,61.75,100,91,1.03,TL,1603815793
Saint-Philippe,-21.36,55.77,77.0,69,90,2.24,RE,1603815987
Vaini,-21.2,-175.2,71.6,88,40,9.17,TO,1603815959
Klaksvík,62.23,-6.59,42.8,70,50,6.93,FO,1603815896
Nanortalik,60.14,-45.24,31.78,89,100,6.76,GL,1603815784
Pleshanovo,52.83,53.48,30.25,91,0,6.46,RU,1603816186
Kapaa,22.08,-159.32,71.6,83,40,8.05,US,1603815875
Havelock,34.88,-76.9,73.0,73,40,6.93,US,1603816188
Massakory,13.0,15.73,94.82,11,9,8.81,TD,1603816189
Aklavik,68.22,-135.01,8.6,92,90,2.33,CA,1603815999
Erzin,36.96,36.2,77.0,22,0,5.82,TR,1603816191
Troitsko-Pechorsk,62.71,56.2,26.55,97,100,9.04,RU,1603816193
Mahébourg,-20.41,57.7,75.2,73,75,5.82,MU,1603815961
Pevek,69.7,170.31,20.12,96,100,16.64,RU,1603815953
Tramandaí,-29.98,-50.13,65.91,77,85,16.6,BR,1603816033
Port Elizabeth,-33.92,25.57,66.2,88,0,10.29,ZA,1603815911
Kenai,60.55,-151.26,28.4,92,1,2.35,US,1603816198
Tautira,-17.73,-149.15,77.0,88,75,10.29,PF,1603816200
Mbarara,-0.61,30.65,66.42,84,96,2.28,UG,1603816201
Matara,5.95,80.54,78.31,86,99,6.6,LK,1603815977
Grindavik,63.84,-22.43,42.8,56,0,23.04,IS,1603816147
Marabu,4.41,114.01,75.2,100,40,2.24,MY,1603815931
Tiksi,71.69,128.87,2.39,92,95,7.49,RU,1603815972
Utica,43.1,-75.23,45.0,84,50,1.01,US,1603816052
Ostrovnoy,68.05,39.51,41.56,92,100,17.36,RU,1603815665
Lata,40.16,-8.33,61.0,91,100,1.01,PT,1603816209
Anuradhapura,8.36,80.42,77.67,81,70,1.36,LK,1603816210
Puerto Peñasco,31.32,-113.53,60.01,11,5,9.17,MX,1603816211
North Platte,41.12,-100.77,17.6,67,1,10.29,US,1603816213
West Plains,36.73,-91.85,39.2,86,90,10.29,US,1603816214
Karligan,14.97,122.05,78.84,83,77,3.09,PH,1603816215
Hambantota,6.12,81.12,77.0,100,75,2.24,LK,1603816216
Shingū,33.73,135.98,54.88,71,1,5.41,JP,1603815980
Turinskaya Sloboda,57.62,64.39,24.71,94,98,13.0,RU,1603816219
Touros,-5.2,-35.46,86.0,62,75,13.87,BR,1603815985
Caravelas,-17.71,-39.25,82.24,69,85,7.2,BR,1603816221
Mastic Beach,40.77,-72.85,60.8,59,75,9.17,US,1603815998
Mount Isa,-20.73,139.5,68.0,19,0,10.29,AU,1603816224
Storsteinnes,69.24,19.23,33.8,100,0,4.7,NO,1603816225
Katete,-0.78,29.75,64.31,97,77,2.64,UG,1603816226
Hay River,60.82,-115.8,23.0,92,75,14.99,CA,1603816204
Antofagasta,-23.65,-70.4,62.6,67,40,12.75,CL,1603816228
Klyuchi,52.27,79.17,39.07,73,91,19.39,RU,1603816230
Beringovskiy,63.05,179.32,28.08,92,81,11.3,RU,1603816231
Buala,-8.14,159.59,79.52,80,17,0.69,SB,1603816232
Tirumullaivāsal,11.23,79.83,80.67,78,1,8.37,IN,1603816233
Den Helder,52.96,4.76,52.0,87,90,18.34,NL,1603816234
Palmdale,34.58,-118.12,48.99,20,1,4.7,US,1603815952
Humaitá,-7.51,-63.02,97.65,39,100,3.38,BR,1603816237
Itoman,26.12,127.67,73.4,73,40,8.05,JP,1603816238
Ampanihy,-24.7,44.75,73.74,68,0,15.97,MG,1603816239
Bethel,41.37,-73.41,53.01,62,90,6.93,US,1603815645
Ribeira Grande,38.52,-28.7,69.8,52,40,6.93,PT,1603816241
Tilichiki,60.47,166.1,25.88,94,100,9.26,RU,1603816243
Iqaluit,63.75,-68.51,15.8,72,40,5.82,CA,1603815799
Olavarría,-36.89,-60.32,69.69,53,0,10.33,AR,1603816245
Corn Island,12.17,-83.04,83.44,74,99,7.65,NI,1603816246
Ponta Delgada,37.73,-25.67,68.0,64,20,13.87,PT,1603816247
Viedma,-40.81,-63.0,65.93,34,100,15.77,AR,1603816249
Tocopilla,-22.09,-70.2,67.46,50,11,8.37,CL,1603816250
Naze,28.37,129.48,68.0,82,75,1.12,JP,1603815967
Buin,-33.73,-70.75,64.99,47,75,3.36,CL,1603816252
Olafsvik,64.89,-23.71,39.65,71,100,20.27,IS,1603815996
Coyhaique,-45.58,-72.07,42.8,81,90,8.05,CL,1603816097
Provideniya,64.38,-173.3,30.13,95,88,2.71,RU,1603816256
Plainview,40.78,-73.47,59.0,54,40,11.41,US,1603816257
Khorixas,-20.37,14.97,81.64,18,48,19.91,NA,1603816258
Jacareacanga,-6.22,-57.75,82.99,72,98,2.04,BR,1603816259
Lompoc,34.64,-120.46,53.6,66,1,6.93,US,1603815999
Bambous Virieux,-20.34,57.76,75.2,73,75,5.82,MU,1603815933
Pascagoula,30.37,-88.56,82.4,74,90,8.05,US,1603816263
Tuatapere,-46.13,167.68,39.99,92,12,1.01,NZ,1603816264
Port-Gentil,-0.72,8.78,82.4,78,75,13.87,GA,1603816266
Tam Ky,15.57,108.48,77.0,78,90,9.17,VN,1603816267
Tumut,-35.3,148.22,52.61,78,99,5.77,AU,1603816268
Alice Springs,-23.7,133.88,60.8,25,0,5.82,AU,1603816269
Ulladulla,-35.35,150.47,55.99,100,90,6.93,AU,1603815929
Palmer,42.16,-72.33,53.01,71,75,5.82,US,1603816017
Truth or Consequences,33.13,-107.25,27.0,68,90,19.46,US,1603816116
Tommot,58.96,126.29,14.72,95,100,4.54,RU,1603816274
Morondava,-20.28,44.28,78.96,69,0,14.67,MG,1603816275
Mananjary,-21.22,48.33,72.97,83,14,6.93,MG,1603816276
Zhaotong,27.32,103.72,46.9,89,100,7.49,CN,1603816277
Stephenville,32.22,-98.2,34.0,96,90,13.87,US,1603816205
Aginskoye,51.1,114.53,22.24,84,0,6.35,RU,1603816280
Talnakh,69.49,88.4,1.4,84,0,6.71,RU,1603816281
Ayan,56.45,138.17,34.38,84,52,7.87,RU,1603815943
Niğde,37.83,34.75,56.93,37,90,6.98,TR,1603816283
Morehead,37.27,-87.18,53.6,93,90,3.53,US,1603816284
Borovskoy,53.8,64.15,25.52,97,100,20.98,KZ,1603816286
Banda Aceh,5.56,95.32,80.33,76,71,13.13,ID,1603816287
Namatanai,-3.67,152.43,79.34,78,61,2.82,PG,1603816288
Yar-Sale,66.83,70.83,4.15,94,13,6.85,RU,1603816289
